Run , DB Rows , Blob Size (Bytes) , Blob Type , DB Size (Bytes) , Total Write Time
1 , 100 , 100 , Zeros , 29112 , 0
2 , 100 , 100 , Random , 29112 , 1
3 , 100 , 1000 , Zeros , 209112 , 0
4 , 100 , 1000 , Random , 209112 , 0
5 , 100 , 10000 , Zeros , 2009112 , 0
6 , 100 , 10000 , Random , 2009112 , 2
7 , 1000 , 100 , Zeros , 290112 , 0
8 , 1000 , 100 , Random , 290112 , 1
9 , 1000 , 1000 , Zeros , 2090112 , 0
10 , 1000 , 1000 , Random , 2090112 , 0
11 , 1000 , 10000 , Zeros , 20090112 , 0
12 , 1000 , 10000 , Random , 20090112 , 0
13 , 10000 , 100 , Zeros , 2900112 , 0
14 , 10000 , 100 , Random , 2900112 , 0
15 , 10000 , 1000 , Zeros , 20900112 , 0
16 , 10000 , 1000 , Random , 20900112 , 0
17 , 10000 , 10000 , Zeros , 200900112 , 1
18 , 10000 , 10000 , Random , 200900112 , 1
