Run , DB Rows , Blob Size (Bytes) , Blob Type , DB Size (Bytes) , Total Write Time (millis) , Avrg. Write Time (s) , Write Time Deviation , Min Write Time (s) , Max Write Time (s) , Max Write Time Occurrance (%) , Most Common Write Time (s) , Write Time Increase
1,100,100, Zeros ,"29,112",0,0,0,0,0,0,0,0
1,100,100, Random ,"29,112",0,0,0,0,0,0,0,0
1,100,"1,000", Zeros ,"209,112",0,0,0,0,0,0,0,0
1,100,"1,000", Random ,"209,112",0,0,0,0,0,0,0,0
1,100,"10,000", Zeros ,"2,009,112",1,0,0,0,0,0,0,0
1,100,"10,000", Random ,"2,009,112",1,0,0,0,0,0,0,0
1,"1,000",100, Zeros ,"290,112",1,0,0,0,0,0,0,0
1,"1,000",100, Random ,"290,112",0,0,0,0,0,0,0,0
1,"1,000","1,000", Zeros ,"2,090,112",0,0,0,0,0,0,0,0
1,"1,000","1,000", Random ,"2,090,112",0,0,0,0,0,0,0,0
1,"1,000","10,000", Zeros ,"20,090,112",0,0,0,0,0,0,0,0
1,"1,000","10,000", Random ,"20,090,112",0,0,0,0,0,0,0,0
1,"10,000",100, Zeros ,"2,900,112",1,0,0,0,0,0,0,0
1,"10,000",100, Random ,"2,900,112",0,0,0,0,0,0,0,0
1,"10,000","1,000", Zeros ,"20,900,112",0,0,0,0,0,0,0,0
1,"10,000","1,000", Random ,"20,900,112",0,0,0,0,0,0,0,0
1,"10,000","10,000", Zeros ,"200,900,112",1,0,0,0,0,0,0,0
1,"10,000","10,000", Random ,"200,900,112",1,0,0,0,0,0,0,0
